"","eventID","eventID.temp","eventIDnew","response.eventID","event.start.ts","event.end.ts","event.dur","event.Q.tot.m3","event.baseflow.tot.m3","event.quickflow.tot.m3","rain.start.ts","rain.eventn","rain.mean","rain.peak.mm.h","rain.peak.ts","rain.tot.mm","rain.dur","init.rain.mean","init.rain.peak.mm.h","init.rain.peak.ts","init.rain.centroid.ts","init.rain.tot.mm","init.rain.dur","Q.response.start.ts","Q.response.end.ts","Q.response.dur","Q.response.tot.m3","Q.response.base.m3","Q.response.quick.m3","Q.nopeaks","Q.peak.m3.s","Q.peak.ts","Q.peak.rank","Q.QXX","lag.start.dur","lag.peak.dur","lag.peakinit.dur","rlimb.dur","flimb.dur","rlimb.rain","interevent.dur","interevent.rainfall.tot.mm","interevent.Q.median","anti.rain.mm3h","anti.rain.mm6h","anti.rain.mm12h","anti.rain.mm24h","anti.rain.mm5d","anti.rain.mm30d","Q.dur","quickflow.start.ts","quickflow.end.ts","quickflow.dur","check.outlier1","check.outlier2","check.outlier3","check.manual"
"21",21,21,21,NA,2015-12-31 11:45:00,2015-12-31 17:00:00,18900s (~5.25 hours),2132.930295,1515.34762625087,617.58266874913,2015-12-31 11:45:00,1,0.945712826590909,5.016317526,2015-12-31 12:30:00,5.20142054625,8100s (~2.25 hours),2.93684767971429,5.016317526,2015-12-31 12:30:00,2015-12-31 12:30:00,5.1394834395,5400s (~1.5 hours),2015-12-31 12:45:00,2015-12-31 17:00:00,15300s (~4.25 hours),1838.9132271,1244.61631886412,594.296908235877,1,0.15534339,2015-12-31 13:30:00,0.807,"Q20",3600,3600,3600,2700s (~45 minutes),12600s (~3.5 hours),5.1394834395,27900s (~7.75 hours),0.01654048875,0.081392823,0.5088639885,0.51843631625,1.96360648925,5.86732035275,29.3731785455,98.54941868375,18900,1451562300,1451581200,18900,NA,FALSE,FALSE,FALSE
"22",22,22,22,NA,2016-01-01 06:30:00,2016-01-04 17:30:00,298800s (~3.46 days),167020.340661,90636.9552215469,76383.3854394531,2016-01-01 06:30:00,8,0.495945915673228,15.83832971,2016-01-01 21:15:00,31.49256564525,139500s (~1.61 days),0.950565551021277,15.83832971,2016-01-01 21:15:00,2016-01-01 17:45:00,22.338290449,83700s (~23.25 hours),2016-01-01 09:45:00,2016-01-04 17:30:00,287100s (~3.32 days),166174.5774357,89808.0302711774,76366.5471645226,9,1.106937719,2016-01-03 07:30:00,0.9,"Q10",11700,123300,123300,164700s (~1.91 days),122400s (~1.42 days),27.2740860585,46800s (~13 hours),0.299822307,0.072131334,0.0078125,0.0078125,0.307634807,5.525595842,26.58612268975,103.526453995,298800,1451629800,1451928600,298800,NA,FALSE,TRUE,FALSE
"23",23,23,23,NA,2016-01-04 16:00:00,2016-01-06 00:45:00,117900s (~1.36 days),65281.0454154,57478.8745017466,7802.17091365335,2016-01-04 16:00:00,3,0.186179639477273,2.276759485,2016-01-05 06:45:00,6.14392810275,72900s (~20.25 hours),0.223157087,2.276759485,2016-01-05 06:45:00,2016-01-05 00:45:00,3.570513392,56700s (~15.75 hours),2016-01-04 20:45:00,2016-01-06 00:45:00,100800s (~1.17 days),55564.6958721,48554.7316112691,7009.96426083087,5,0.6304744,2016-01-04 23:00:00,0.898,"Q15",17100,-27900,-27900,8100s (~2.25 hours),92700s (~1.07 days),1.4237059875,7200s (~2 hours),0.28026650925,0.576715576,1.471140696,2.59452947075,2.88095223,4.00145226525,39.49344642525,125.201743159,117900,1451923200,1452041100,117900,NA,FALSE,FALSE,FALSE
"24",24,24,24,NA,2016-01-06 13:00:00,2016-01-06 15:15:00,8100s (~2.25 hours),4294.3979448,4071.77855335938,222.619391440616,2016-01-06 13:00:00,1,0.0237047168,0.150336479,2016-01-06 13:45:00,0.059261792,4500s (~1.25 hours),0.0395078613333333,0.150336479,2016-01-06 13:45:00,2016-01-06 13:15:00,0.059261792,4500s (~1.25 hours),2016-01-06 14:00:00,2016-01-06 15:15:00,4500s (~1.25 hours),2644.3190565,2441.49256288252,202.82649361748,1,0.508037785,2016-01-06 15:15:00,0.894,"Q15",3600,5400,5400,4500s (~1.25 hours),0s,0.059261792,42300s (~11.75 hours),0.02920872525,0.44767725,0.00316705925,0.00316705925,0.0323757845,2.59657076375,32.05829442525,130.2498799885,8100,1452085200,1452093300,8100,NA,FALSE,FALSE,FALSE
"25",25,25,25,NA,2016-01-06 16:45:00,2016-01-07 10:45:00,64800s (~18 hours),41062.3115175,29076.1290802469,11986.1824372531,2016-01-06 16:45:00,3,0.528188528767123,3.27816987,2016-01-06 17:30:00,9.63944065,48600s (~13.5 hours),0.809929699078947,3.27816987,2016-01-06 17:30:00,2016-01-06 19:15:00,7.69433214125,33300s (~9.25 hours),2016-01-06 19:15:00,2016-01-07 10:45:00,55800s (~15.5 hours),37085.965632,25110.4361988214,11975.5294331786,1,0.968861034,2016-01-07 00:00:00,0.9,"Q10",9000,23400,23400,17100s (~4.75 hours),38700s (~10.75 hours),7.526115945,3600s (~1 hours),0,0.432235844,0.141398194,0.1547004735,0.17898231175,1.8286815845,29.431605692,130.13346567875,64800,1452098700,1452163500,64800,NA,FALSE,FALSE,FALSE
"27",26,27,26,NA,2016-01-08 19:45:00,2016-01-09 00:00:00,15300s (~4.25 hours),6877.4837697,6755.47759223335,122.006177466651,2016-01-08 19:45:00,1,0.286694106333333,3.422333578,2016-01-08 21:30:00,1.2901234785,9000s (~2.5 hours),0.303558465529412,3.422333578,2016-01-08 21:30:00,2016-01-08 21:15:00,1.2901234785,14400s (~4 hours),2016-01-08 22:45:00,2016-01-09 00:00:00,4500s (~1.25 hours),2370.2315571,2253.25688349919,116.974673600809,0,0.45388064,2016-01-08 22:45:00,0.892,"Q15",10800,4500,4500,0s,4500s (~1.25 hours),1.21178502625,117000s (~1.35 days),2.948438598,0.423908089,0.42383882325,0.484016103,2.49876524425,2.49876524425,22.415405826,136.28759700175,15300,1452282300,1452297600,15300,NA,FALSE,TRUE,FALSE
"28",27,28,27,NA,2016-01-09 01:15:00,2016-01-09 08:45:00,27000s (~7.5 hours),12331.5911793,11568.8233032207,762.767876079311,2016-01-09 01:15:00,1,0.443393538096774,4.741499901,2016-01-09 05:00:00,3.43629992025,13500s (~3.75 hours),0.808541157705882,4.741499901,2016-01-09 05:00:00,2016-01-09 03:45:00,3.43629992025,14400s (~4 hours),2016-01-09 04:00:00,2016-01-09 08:45:00,17100s (~4.75 hours),8259.1474446,7502.23143098677,756.916013613228,1,0.51656464,2016-01-09 06:00:00,0.895,"Q15",9900,3600,3600,7200s (~2 hours),9900s (~2.75 hours),3.43629992025,2700s (~45 minutes),0.07537853725,0.419958139,0.17595755375,1.38774258,1.86422762925,3.8789767705,23.0392120675,137.59658054,27000,1452302100,1452329100,27000,NA,FALSE,FALSE,FALSE
"29",28,29,28,NA,2016-01-09 09:30:00,2016-01-10 09:30:00,86400s (~1 days),44638.4060658,34890.0595789006,9748.34648689943,2016-01-09 09:30:00,3,0.782059618752577,14.78232543,2016-01-09 12:30:00,18.96494575475,45900s (~12.75 hours),1.28546231905455,14.78232543,2016-01-09 12:30:00,2016-01-09 12:30:00,17.675106887,48600s (~13.5 hours),2016-01-09 10:30:00,2016-01-10 09:30:00,82800s (~23 hours),43154.0415135,33405.6950266006,9748.34648689943,2,0.92948064,2016-01-09 13:45:00,0.9,"Q10",3600,4500,4500,11700s (~3.25 hours),71100s (~19.75 hours),14.386038059,900s (~15 minutes),0,0.419960445,0.09346855175,2.1974028325,4.54885148,7.35124327875,26.54673997525,141.10410844775,86400,1452331800,1452418200,86400,NA,FALSE,FALSE,FALSE
"31",29,31,29,NA,2016-01-11 02:00:00,2016-01-12 17:30:00,142200s (~1.65 days),53421.7646214,45936.6968173932,7485.06780400682,2016-01-11 02:00:00,5,0.181913600616352,4.935482581,2016-01-11 15:45:00,7.2310656245,58500s (~16.25 hours),1.07203011716667,3.56561783,2016-01-11 03:00:00,2016-01-11 02:45:00,1.60804517575,4500s (~1.25 hours),2016-01-11 05:15:00,2016-01-12 17:30:00,130500s (~1.51 days),48723.4022166,41721.6619108065,7001.74030579347,6,0.481959864,2016-01-11 17:15:00,0.893,"Q15",11700,5400,51300,43200s (~12 hours),87300s (~1.01 days),5.31299172125,57600s (~16 hours),2.12928022375,0.394916671,0.54997406975,1.86492645825,2.30664499575,3.21887653425,38.81428372475,158.59881005575,142200,1452477600,1452619800,142200,NA,FALSE,TRUE,FALSE
"32",30,32,30,NA,2016-01-13 12:00:00,2016-01-14 13:30:00,91800s (~1.06 days),30012.6197583,25243.8207034175,4768.79905488247,2016-01-13 12:00:00,5,0.300495484728155,3.798174699,2016-01-13 15:00:00,7.73775873175,47700s (~13.25 hours),0.854430554222222,3.798174699,2016-01-13 15:00:00,2016-01-13 14:15:00,3.844937494,15300s (~4.25 hours),2016-01-13 14:15:00,2016-01-14 13:30:00,83700s (~23.25 hours),27651.7904823,22908.6349766491,4743.15550565091,3,0.40471552,2016-01-13 16:00:00,0.888,"Q15",8100,3600,3600,6300s (~1.75 hours),77400s (~21.5 hours),3.802707936,64800s (~18 hours),0.2929379045,0.295273382,0.1582944195,0.21973978225,0.380777523,0.47910181425,34.05481091225,161.181654734,91800,1452686400,1452778200,91800,NA,FALSE,FALSE,FALSE
